Name,Year,Brand,Mileage,Price,Reviews,Rating,BrandNum
2017 GMC Sierra 1500 SLT,2017,GMC,44274,42999,2,3.0,4
2018 Chevrolet Silverado 2500 WT,2018,Chevrolet,86836,31987,525,4.6,6
2015 Chevrolet Silverado 1500 LT,2015,Chevrolet,79068,29514,525,4.6,6
2015 GMC Sierra 1500 SLT,2015,GMC,72171,34500,18,4.8,4
2016 GMC Sierra 1500 Base,2016,GMC,90687,26900,18,4.8,4
2014 GMC Sierra 1500 Denali,2014,GMC,122577,31872,1,5.0,4
2015 RAM 1500 Big Horn,2015,RAM,83808,25995,87,3.8,1
2020 RAM 1500 Classic SLT,2020,RAM,18633,34995,38,4.8,1
2017 RAM 1500 Express,2017,RAM,47572,30995,199,4.5,1
2020 Ford F-150 Lariat,2020,Ford,30577,38961,79,3.3,0
2017 GMC Sierra 1500 Denali,2017,GMC,50181,44444,50,2.9,4
2019 Nissan Titan SV,2019,Nissan,13622,37448,126,4.8,2
2013 Ford F-150 XLT,2013,Ford,124710,21500,1895,4.9,0
2020 RAM 1500 Big Horn,2020,RAM,18488,38998,3,2.3,1
2020 Ford F-150 Lariat,2020,Ford,25600,37977,954,4.7,0
2017 RAM 1500 Big Horn,2017,RAM,44766,29980,59,4.8,1
2018 GMC Sierra 2500 Denali,2018,GMC,40548,62888,971,4.8,4
2019 RAM 1500 Classic SLT,2019,RAM,13279,34999,20,4.8,1
2018 Ford F-150 Lariat,2018,Ford,149991,32870,16,3.3,0
2016 RAM 1500 Tradesman/Express,2016,RAM,58687,25987,14,4.9,1
2018 Chevrolet Silverado 1500 1LT,2018,Chevrolet,25061,35987,135,4.7,6
2016 Chevrolet Silverado 1500 LT,2016,Chevrolet,134849,25700,2374,4.8,6
2018 Chevrolet Silverado 1500 LTZ,2018,Chevrolet,23200,44900,126,4.6,6
2019 Chevrolet Silverado 1500 LT Trail Boss,2019,Chevrolet,18043,46249,717,3.6,6
2017 Chevrolet Silverado 1500 LTZ,2017,Chevrolet,37716,43987,2374,4.8,6
2019 Ford F-350 Super Duty,2019,Ford,14156,81855,6,4.3,0
2020 Ford F-250 Lariat,2020,Ford,7228,71900,796,4.7,0
2017 Toyota Tundra 5.7L V8,2017,Toyota,36141,35608,311,4.6,3
2008 GMC Sierra 2500 SLT,2008,GMC,210146,18997,17,3.1,4
2020 Ford F-150 Lariat,2020,Ford,25226,38277,670,4.2,0
2018 RAM 1500 Express,2018,RAM,46663,26062,956,4.7,1
2019 RAM 1500 Classic Big Horn,2019,RAM,41624,34856,47,4.8,1
2020 RAM SLT,2020,RAM,15059,34999,1952,4.5,1
2018 Toyota Tundra SR5,2018,Toyota,34588,31800,517,4.3,3
2017 Ford F-250 Platinum,2017,Ford,214878,41995,14,4.0,0
2019 Ford F-150 Lariat,2019,Ford,16037,45994,250,4.8,0
2017 Ford F-150 XLT,2017,Ford,58635,30460,435,4.6,0
2007 Chevrolet Silverado 2500 LT2 H/D Crew Cab Classic,2007,Chevrolet,170000,15000,0,0.0,6
2020 Ford F-150 Lariat,2020,Ford,29950,42986,68,4.4,0
2020 Chevrolet Silverado 2500 High Country,2020,Chevrolet,19064,67279,86,4.1,6
2019 Chevrolet Silverado 3500 LTZ,2019,Chevrolet,95153,52500,26,4.2,6
2020 Chevrolet Silverado 1500 LT,2020,Chevrolet,9299,34999,64,4.4,6
2019 RAM 1500 Big Horn,2019,RAM,34482,39665,2,3.5,1
